lat,lon,east_m,north_m
10.8514329708,106.7713668000,-16.007,-201.768
10.8514276136,106.7713842597,-14.098,-202.360
10.8514230126,106.7714019459,-12.164,-202.869
10.8514183946,106.7714196202,-10.232,-203.380
10.8514147303,106.7714375236,-8.274,-203.785
10.8514111320,106.7714554427,-6.315,-204.183
10.8514076429,106.7714733796,-4.354,-204.569
10.8514034817,106.7714911426,-2.411,-205.030
10.8513990114,106.7715087861,-0.482,-205.524
10.8513940302,106.7715263486,1.438,-206.075
10.8513890565,106.7715439269,3.360,-206.625
10.8513836565,106.7715613690,5.267,-207.223
10.8513787498,106.7715789624,7.191,-207.765
10.8513731950,106.7715963407,9.091,-208.380
10.8513688202,106.7716140776,11.031,-208.864
10.8513642828,106.7716317602,12.964,-209.366
10.8513597446,106.7716494520,14.899,-209.868
10.8513550436,106.7716671031,16.829,-210.388
10.8513504017,106.7716847625,18.759,-210.901
10.8513453971,106.7717023293,20.680,-211.455
10.8513407479,106.7717199893,22.611,-211.969
10.8513362037,106.7717376661,24.544,-212.471
10.8513317341,106.7717553763,26.481,-212.966
10.8513267268,106.7717729338,28.400,-213.520
10.8513223755,106.7717906744,30.340,-214.001
10.8513188078,106.7718085947,32.300,-214.396
10.8513154887,106.7718265571,34.264,-214.763
10.8513131415,106.7718446662,36.244,-215.022
10.8513103975,106.7718627408,38.220,-215.326
10.8513080916,106.7718808725,40.203,-215.581
10.8513058104,106.7718990129,42.186,-215.833
10.8513035423,106.7719171529,44.170,-216.084
10.8513015541,106.7719353239,46.157,-216.304
10.8512994011,106.7719534792,48.142,-216.542
10.8512972034,106.7719716290,50.126,-216.785
10.8512948334,106.7719897569,52.108,-217.048
10.8512922475,106.7720078216,54.084,-217.334
10.8512904175,106.7720259770,56.069,-217.536
10.8512881610,106.7720440961,58.050,-217.786
10.8512861736,106.7720622585,60.036,-218.005
10.8512842262,106.7720804282,62.023,-218.221
10.8512827774,106.7720986509,64.015,-218.381
10.8512809039,106.7721168262,66.003,-218.588
10.8512790791,106.7721350086,67.991,-218.790
10.8512771469,106.7721531819,69.978,-219.004
10.8512753007,106.7721713664,71.966,-219.208
10.8512728955,106.7721894508,73.943,-219.474
10.8512712051,106.7722075371,75.921,-219.661
10.8512687241,106.7722256440,77.901,-219.936
10.8512665893,106.7722437897,79.885,-220.172
10.8512646034,106.7722619580,81.872,-220.391
10.8512627226,106.7722801446,83.860,-220.599
10.8512606479,106.7722982945,85.845,-220.829
10.8512590312,106.7723164849,87.834,-221.008
10.8512569778,106.7723346313,89.818,-221.235
10.8512545755,106.7723527355,91.797,-221.501
10.8512522416,106.7723708392,93.777,-221.759
10.8512499267,106.7723889428,95.756,-222.015
10.8512475851,106.7724070668,97.738,-222.274
10.8512454350,106.7724252126,99.722,-222.512
10.8512436955,106.7724433927,101.710,-222.704
10.8512421916,106.7724616107,103.702,-222.870
10.8512406456,106.7724798241,105.694,-223.041
10.8512389144,106.7724980123,107.682,-223.233
10.8512368559,106.7725161670,109.668,-223.461
10.8512347096,106.7725343190,111.652,-223.698
10.8512326113,106.7725524695,113.637,-223.930
10.8512303094,106.7725706004,115.619,-224.185
10.8512275099,106.7725886536,117.593,-224.494
10.8512254381,106.7726067906,119.577,-224.724
10.8512259873,106.7726250158,121.569,-224.663
10.8512308676,106.7726425488,123.486,-224.123
10.8512401105,106.7726582216,125.200,-223.101
10.8512519362,106.7726719555,126.702,-221.792
10.8512671089,106.7726817473,127.773,-220.114
10.8512841507,106.7726877105,128.425,-218.229
10.8513017134,106.7726919428,128.887,-216.286
10.8513195700,106.7726946122,129.179,-214.311
10.8513375714,106.7726960613,129.338,-212.320
10.8513555200,106.7726981714,129.568,-210.335
10.8513734252,106.7727006173,129.836,-208.354
10.8513913185,106.7727029394,130.090,-206.375
10.8514093097,106.7727045736,130.268,-204.385
10.8514272673,106.7727064207,130.470,-202.398
10.8514452381,106.7727081814,130.663,-200.410
10.8514631729,106.7727101536,130.878,-198.427
10.8514811518,106.7727117946,131.058,-196.438
10.8514990865,106.7727139744,131.296,-194.454
10.8515170327,106.7727160022,131.518,-192.469
10.8515349506,106.7727181791,131.756,-190.487
10.8515529156,106.7727200066,131.956,-188.500
10.8515707815,106.7727226309,132.243,-186.524
